0.6000,1.1079,0.5301,0.6537
0.6000,1.1694,1.7625,0.2583
0.6000,1.1182,0.5891,0.4270
0.0000,1.3157,1.6794,0.8382
0.2000,0.8148,0.7267,0.9064
0.2000,1.1785,1.7600,0.3466
0.8000,0.7563,0.8127,0.0334
0.2000,0.6837,1.6685,0.8418
0.0000,1.1845,0.8322,0.2771
0.6000,0.7626,1.7727,0.7659
0.8000,0.5897,0.4318,0.7506
0.6000,1.4454,1.8706,0.3732
0.6000,0.1596,0.8744,0.5205
0.4000,1.4192,1.6115,0.0880
0.2000,0.8453,0.5974,0.4849
0.0000,0.7682,1.9136,0.7801
0.4000,1.2362,0.8735,0.9521
0.6000,0.9330,1.7326,0.3168
0.0000,1.4483,0.6220,0.3959
0.2000,1.1193,1.6727,0.5364
0.8000,1.1875,0.8332,0.8530
0.4000,1.5198,1.7454,0.5962
0.8000,1.0636,0.7610,0.6788
0.4000,0.7349,1.8730,0.2468
0.0000,1.0680,0.8743,0.2783
0.4000,1.4427,1.6279,0.5866
0.2000,1.2337,0.7978,0.1047
0.2000,1.4880,1.8491,0.7362
0.4000,0.9558,0.5137,0.0202
0.4000,1.0825,1.7023,0.8635
0.4000,1.0777,0.7784,0.9698
0.0000,1.3244,1.7928,0.2200
0.2000,1.1909,0.4316,0.2847
0.4000,1.3269,1.5633,0.0345
0.6000,1.6221,0.7923,0.0557
0.0000,1.0920,1.6735,0.9170
0.0000,1.0262,0.4784,0.2172
0.8000,1.0704,1.6728,0.9564
0.0000,0.8203,0.9156,0.5974
0.0000,0.6311,1.7906,0.5753
0.0000,1.0624,0.8431,0.0549
0.6000,0.9960,1.7049,0.4901
0.2000,0.7101,0.7560,0.5573
0.2000,1.0447,1.6964,0.7467
0.0000,0.6592,0.5924,0.8360
0.0000,0.7687,1.8478,0.6363
0.2000,1.0311,0.7552,0.1269
0.0000,0.7346,1.7744,0.7707
0.6000,0.9303,0.8429,0.2315
0.0000,0.6633,1.7339,0.4621
